,count,spread,long_mean,z_score
0,1,1.0,1.0,0.0
1,2,1.0037099494097808,1.0018549747048904,0.0
2,3,1.0023584905660377,1.0020228133252729,0.0
3,4,1.0033692722371967,1.0023594280532537,0.0
4,5,0.9993279569892473,1.0017531338404524,0.0
5,6,0.999327731092437,1.0013489000491165,0.0
6,7,0.9996637525218561,1.0011081646880793,0.0
7,8,1.0,1.0009696441020695,0.0
8,9,0.9996635262449529,1.0008245198957233,0.0
9,10,0.9996635262449529,1.0007084205306462,0.0
10,11,1.0,1.0006440186642238,0.0
11,12,0.9996637525218561,1.0005623298190265,0.0
12,13,0.9996637525218561,1.000493208488475,0.0
13,14,1.0,1.0004579793107269,0.0
14,15,0.9983176312247645,1.0003152894383294,0.0
15,16,0.9959718026183283,1.000043821512079,0.0
16,17,0.9963087248322148,0.9998241099426752,0.0
17,18,0.9979886020784445,0.9997221372835513,0.0
18,19,0.9983232729711603,0.9996485128460569,0.0
19,20,0.9989926124916051,0.9996157178283344,-0.33366456433780106
20,21,0.9989926124916051,0.9995653484529148,-0.30627589867346716
21,22,0.9986568166554735,0.9993126918151993,-0.40555328013040076
22,23,0.9979865771812081,0.9990940961459579,-0.7480929416300017
23,24,0.9989926124916051,0.9988752631586783,0.10578790123897441
24,25,0.9989922741014444,0.9988584790142883,0.12109874018400332
25,26,0.9989922741014444,0.9988417061647384,0.13686400855154665
26,27,0.9963037634408602,0.9986737067106887,-1.9544784962990278
27,28,0.9963037634408602,0.9984888948827317,-1.7120254651681717
28,29,0.9986568166554735,0.9984385594032578,0.17480509107825914
29,30,0.9986572675394427,0.9983882464679823,0.2208526693165188
30,31,0.997319932998325,0.9982542431178987,-0.7916197652320235
31,32,0.9983243967828418,0.998187275330948,0.1207559370575849
32,33,0.9996648793565683,0.9981873316726837,1.301117648552536
33,34,0.9996648793565683,0.9981705756405119,1.3450884989578504
34,35,0.998324958123953,0.9981709419854713,0.13863050590000425
35,36,0.998324958123953,0.9982885997607525,0.03673095505805041
36,37,0.9963259853039412,0.9982894627843388,-1.9870525609937328
37,38,0.9986653319986654,0.9983232992803497,0.34589276964531124
38,39,0.9986653319986654,0.9983404022317253,0.32766706379168864
39,40,0.9986657771847899,0.9983240604663844,0.3474770799517378
40,41,0.9983322214809873,0.9982910409158535,0.04239151223642893
41,42,0.9963296629963296,0.9981746832328963,-1.7466537089530942
42,43,0.9966622162883845,0.998108465188255,-1.3072151383061068
43,44,0.9963296629963296,0.9979753177134916,-1.4294256003849277
44,45,0.9956652217405801,0.9978089650954484,-1.7429001167851064
45,46,1.0006662225183212,0.9978926625162922,2.042451122400253
46,47,0.9993346640053227,0.9980442075445153,0.962165242502681
47,48,0.9966865473823724,0.9980633467415906,-1.044001794817594
48,49,0.9976805831676607,0.9980145350672001,-0.25415691659223977
49,50,0.9973509933774835,0.9979492213591021,-0.45567021266772256
50,51,0.9973509933774835,0.9979507743780601,-0.45710632658463496
51,52,0.9976813514408744,0.9979186221109618,-0.18105987939812007
52,53,0.9973492379058979,0.9978028400384282,-0.3622881801770533
53,54,0.997682119205298,0.9977037020308647,-0.018338238181418717
54,55,0.997682119205298,0.997671560084932,0.009038246721207946
55,56,0.9963624338624338,0.9975734338718558,-1.0164017498889084
56,57,0.9990076083360899,0.9977075150234633,1.088475646356478
57,58,0.9996689837802052,0.9977576976125404,1.5250762327865621
58,59,1.0,0.9978244310126071,1.6323265971636345
59,60,0.9996685449121644,0.9978745693989758,1.298587415638762
60,61,0.9996694214876033,0.9979414293993066,1.2055227620011566
61,62,0.994717728623308,0.9978608326806556,-2.013052271904106
